model,n_users,eval_time_sec,Precision@5,Recall@5,NDCG@5,MAP@5,HitRate@5,MRR@5,Precision@10,Recall@10,NDCG@10,MAP@10,HitRate@10,MRR@10,Precision@20,Recall@20,NDCG@20,MAP@20,HitRate@20,MRR@20,Coverage@20,experiment,train_time_sec,experiment_type,data_fraction,n_train_events
HybridRecommender,500,6.57,0.0032,0.0032749512836062256,0.0039354147383341385,0.0020800000000000003,0.014,0.0073,0.0028000000000000004,0.005562473675444407,0.0045750529057857064,0.0019764285714285713,0.024,0.008692857142857143,0.002,0.006325902246872978,0.004551501782722118,0.0017972158560393852,0.032,0.00930093795093795,0.07637051039697543,CF Only (baseline),7.18,component,,
HybridRecommender,500,7.03,0.0016,0.0002408706172483603,0.0024629337611107517,0.0014,0.008,0.007,0.0014000000000000002,0.0029663608133267917,0.0027245224804161475,0.0011095238095238096,0.014,0.007857142857142856,0.0011,0.0060496941466601254,0.003169161772771253,0.001016536533641797,0.022,0.008382918835550413,0.0743289224952741,CF + Item Categories,6.4,component,,
HybridRecommender,500,30.8,0.0024000000000000002,0.001496952217313042,0.003194622642158192,0.0017022222222222224,0.012,0.008066666666666666,0.0024000000000000002,0.005491096361457185,0.004102807910779595,0.0015811375661375661,0.024,0.009532539682539682,0.0019000000000000004,0.006194957365318191,0.004327777116413783,0.0014606366944602239,0.03,0.010021176046176045,0.07334593572778828,CF + User Features,6.39,component,,
HybridRecommender,500,31.42,0.0036,0.004629966264581809,0.007093496363294638,0.00528,0.016,0.0124,0.0035999999999999995,0.006397723140016956,0.007358841206374152,0.004602380952380952,0.028,0.01409047619047619,0.0032,0.00953693032224832,0.008026834746311252,0.00444083981807666,0.038,0.014766446419077997,0.07516068052930057,CF + User + RFM,6.47,component,,
HybridRecommender,500,48.11,0.0004,0.0002222222222222222,0.0006783204105472322,0.0004,0.002,0.002,0.0002,0.0002222222222222222,0.00047009109882897073,0.0002222222222222222,0.002,0.002,0.0001,0.0002222222222222222,0.00047009109882897073,0.0002222222222222222,0.002,0.002,0.49217391304347824,Full Hybrid,6.31,component,,
HybridRecommender,500,47.1,0.0012000000000000001,0.003006872852233677,0.0021527158360858246,0.0012666666666666666,0.006,0.0030666666666666663,0.0006000000000000001,0.003006872852233677,0.0019145789581347529,0.0010666666666666667,0.006,0.0030666666666666663,0.0008,0.0036563751213011635,0.0022282593921856522,0.0010287863756613756,0.014,0.003667857142857143,0.5090359168241966,Equal (1:1:1),6.43,event_weights,,
HybridRecommender,500,47.56,0.0004,0.001,0.0006131471927654584,0.0003333333333333333,0.002,0.0006666666666666666,0.0008,0.0023666666666666662,0.001313494619839934,0.0005200000000000001,0.008,0.001438095238095238,0.0009000000000000001,0.008798484848484849,0.003062345988795792,0.0009614676511100307,0.018,0.002154227145403616,0.5033648393194707,Baseline (1:2:3),7.67,event_weights,,
HybridRecommender,500,49.05,0.0036,0.003641414141414141,0.004100762574314196,0.0023,0.014,0.0067333333333333325,0.002,0.0037842712842712837,0.0037692587754154018,0.0019259259259259258,0.016,0.007066666666666666,0.001,0.0037842712842712837,0.0037123921778515214,0.001898220298220298,0.016,0.007066666666666666,0.5029111531190926,Aggressive (1:3:5),6.59,event_weights,,
HybridRecommender,500,50.42,0.0004,0.0006666666666666666,0.00046927872602275646,0.0002222222222222222,0.002,0.0006666666666666666,0.0006000000000000001,0.0011694214876033055,0.0008368193824443888,0.0003,0.006,0.0011111111111111111,0.0004,0.0018360881542699723,0.0010035091690892544,0.0003222222222222222,0.008,0.001211111111111111,0.5038941398865785,Purchase-Focused (0.5:2:5),6.67,event_weights,,
HybridRecommender,500,39.74,0.0028000000000000004,0.002541666666666667,0.002875557347790142,0.0013266666666666667,0.014,0.005633333333333333,0.0028,0.007744047619047618,0.0045812752769831076,0.0017967460317460317,0.024,0.0069246031746031745,0.0022,0.012315164047347145,0.005977909179683046,0.0019968642256722752,0.04,0.007999650143458192,0.1568113983217886,Temporal Split,5.36,split_strategy,,
HybridRecommender,500,44.03,0.002,0.005333333333333333,0.005530721273977243,0.0045,0.01,0.008,0.0012000000000000001,0.006333333333333333,0.005885199847545339,0.0046,0.012,0.008199999999999999,0.0012000000000000001,0.011733333333333332,0.007565003460509034,0.004966923882790755,0.024,0.00902972839853645,0.1391698881918563,Random Split (Leakage),6.02,split_strategy,,
HybridRecommender,500,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030000000000000003,0.0014333333333333333,0.0005137383060296554,0.00008556618819776716,0.006,0.0003870813397129187,0.3342155009451796,25% Data,2.25,learning_curve,0.25,159126
HybridRecommender,500,28.4,0.0016,0.0007174832586597293,0.002047023505588203,0.00108,0.008,0.0054,0.001,0.0009397054808819517,0.0017339648941721304,0.0007770370370370371,0.01,0.005733333333333334,0.0005,0.0009397054808819517,0.0015692390827791386,0.0006976787482669836,0.01,0.005733333333333334,0.3711909262759924,50% Data,3.64,learning_curve,0.5,318253
HybridRecommender,500,37.48,0.0004,0.0006666666666666666,0.0009385574520455129,0.0006666666666666666,0.002,0.002,0.0006000000000000001,0.0026735395189003437,0.0017519519629108995,0.000980952380952381,0.006,0.0025714285714285713,0.0008,0.00784020618556701,0.0031757975767578127,0.0012883265856950066,0.016,0.003169134374397532,0.44332703213610586,75% Data,4.79,learning_curve,0.75,477380
HybridRecommender,500,44.85,0.0008,0.0015,0.0015544657144532868,0.001,0.004,0.003,0.0004,0.0015,0.0015544657144532868,0.001,0.004,0.003,0.0004,0.0021222222222222224,0.0018580973594468917,0.0010492063492063492,0.008,0.0033095238095238095,0.49293005671077506,100% Data,6.14,learning_curve,1.0,636507
